State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Utah,6.718333333333334,6.7683333333333335,6.886666666666667,7.193333333333335,7.475833333333333,7.546666666666666,8.086666666666668,8.214999999999998,8.437499999999998,8.649166666666666,8.930833333333334,9.850000000000001,10.3025,10.581666666666665,10.818333333333333,10.938333333333334,10.8675,10.3725,10.349166666666667,10.367500000000001,10.359166666666669,10.773333333333333,11.15,11.259166666666667,12.67
Wyoming,6.864999999999999,7.045833333333334,7.109999999999999,7.303333333333335,7.550000000000001,7.826666666666665,7.820833333333333,8.338333333333333,8.683333333333334,8.8775,9.200000000000001,9.9175,10.238333333333333,10.598333333333333,11.050833333333335,11.225000000000001,11.474166666666667,11.3775,11.269166666666665,11.194166666666666,11.255,11.216666666666667,11.648333333333332,12.669166666666667,13.182857142857143
Pacific Contiguous,,,,,,,,,,,,,,,,,,,,,,,,,
California,12.074166666666665,12.631666666666668,12.245833333333332,12.176666666666668,12.469166666666666,14.229999999999999,14.357500000000002,13.767499999999998,14.665,14.732499999999996,14.741666666666667,15.270000000000001,16.1775,16.089166666666667,16.881666666666668,17.239166666666666,18.157500000000002,18.724999999999998,19.115833333333335,20.495,22.822500000000005,25.78166666666667,29.562500000000004,32.00416666666667,32.455714285714286
Oregon,6.318333333333334,7.12,7.0683333333333325,7.183333333333334,7.252499999999999,7.501666666666666,8.238333333333332,8.512500000000001,8.719166666666666,8.9075,9.565833333333336,9.83,9.924166666666666,10.508333333333335,10.695000000000002,10.696666666666667,10.694166666666668,11.026666666666666,11.056666666666665,11.199166666666665,11.407499999999999,11.478333333333333,12.794166666666664,14.708333333333336,15.257142857142856
Washington,5.732500000000001,6.2924999999999995,6.315833333333333,6.3708333333333345,6.551666666666667,6.87,7.294999999999999,7.565,7.697500000000001,8.075833333333334,8.308333333333334,8.559166666666666,8.73,8.704166666666666,9.1275,9.524999999999999,9.710833333333335,9.778333333333334,9.7525,9.904166666666667,10.1425,10.300833333333332,11.03,11.977500000000001,12.864285714285714
Pacific Noncontiguous,14.655833333333334,14.209166666666667,14.866666666666665,15.855833333333331,17.789166666666667,19.990833333333335,20.583333333333332,26.135,21.290833333333335,23.26,27.6225,28.873333333333335,28.620833333333334,29.234166666666667,25.378333333333334,24.375,25.92166666666667,28.05,28.343333333333334,27.060833333333335,28.867500000000003,34.611666666666665,34.43,34.91083333333333,34.440000000000005
Alaska,12.167500000000002,12.097499999999998,12.014166666666668,12.495000000000003,13.342500000000001,14.925000000000002,15.226666666666667,16.675,17.18166666666667,16.291666666666668,17.708333333333332,17.954166666666666,18.185833333333335,19.291666666666668,19.919166666666666,20.32,21.335000000000004,22.00583333333333,23.000833333333333,22.666666666666668,22.645833333333332,23.2175,24.025000000000006,24.902500000000003,25.931428571428572
Hawaii,16.335833333333337,15.612500000000002,16.742500000000003,18.049999999999997,20.661666666666665,23.3325,24.086666666666662,32.482499999999995,24.151666666666667,28.093333333333334,34.69916666666666,37.35916666666666,36.97833333333333,37.050000000000004,29.671666666666667,27.450000000000003,29.525833333333328,32.455000000000005,32.19916666666668,30.440833333333327,33.46583333333334,42.93083333333334,42.43666666666667,42.8325,41.15714285714286
United States,8.801902515723272,8.673962264150944,8.89948113207547,9.148915094339623,9.706053459119497,10.587169811320752,11.028506289308178,11.963679245283018,11.955345911949683,12.181210691823898,12.549874213836478,12.770566037735847,13.022657232704404,13.519418238993707,13.60943396226415,13.530597484276734,13.905000000000003,14.068663522012578,14.224339622641509,14.234308176100628,14.696981132075473,16.21874213836478,17.301650943396226,17.644465408805033,18.27070080862534
